locatie;UN;Product;batch;aantal;verdiep
HJ01806;000094933111;H000025889;980305A295;137.080;06
HJ01101;000094933125;H000025889;980305B411;140.900;01
HI00705;000094933146;H000025889;980305B411;124.580;05
HJ01103;000094933127;H000025889;980305B415;135.670;03
HJ01905;000094933123;H000025889;980305B378;131.520;05
HJ01906;000094933124;H000025889;980305B380;135.020;06
HJ02001;000094933112;H000025889;980305A323;135.620;01
HJ02003;000094933144;H000025889;980305B378;109.550;03
HJ02004;000094933121;H000025889;980305B328;136.070;04
HJ02005;000094933145;H000025889;980305B380;130.750;05
HJ02101;000094933120;H000025889;980305B327;123.920;01
HJ02102;000094933148;H000025889;980305B415;129.460;02
HJ02406;000094933137;H000025889;980305A342;133.470;06
HJ02705;000094933201;H000025889;980305B360;127.810;05
HJ02302;000094933122;H000025889;980305B365;92.140;02
HJ02303;000094933117;H000025889;980305A343;133.910;03
HJ02305;000094933140;H000025889;980305B326;134.150;05
HJ02401;000094933126;H000025889;980305B412;126.490;01
HO05806;000094933138;H000025889;980305A343;130.810;06
HJ00300;000094933147;H000025889;980305B412;139.500;00
HJ01504;000094933114;H000025889;980305A325;132.780;04
HJ02904;000094933194;H000025889;980305B339;135.400;04
HJ00405;000094933190;H000025889;980305A302;135.010;05
HJ02805;000094933162;H000025889;980305B339;130.330;05
HJ00305;000094933193;H000025889;980305B338;86.460;05
HJ02902;000094933158;H000025889;980305A302;140.810;02
HJ01903;000094933113;H000025889;980305A324;128.640;03
HJ02002;000094933135;H000025889;980305A324;136.540;02
HJ00905;000094933195;H000025889;980305B340;136.630;05
HJ02404;000094933197;H000025889;980305B352;136.630;04
HJ02502;000094933196;H000025889;980305B351;133.730;02
HJ02504;000094933199;H000025889;980305B358;141.060;04
HJ02505;000094933192;H000025889;980305A310;134.180;05
HJ02602;000094933171;H000025889;980305B396;136.750;02
HJ00901;000094933200;H000025889;980305B359;132.940;01
HJ00805;000094933173;H000025889;980305B402;141.410;05
HJ02703;000094933203;H000025889;980305B396;128.320;03
HJ02803;000094933170;H000025889;980305B395;133.990;03
HJ02804;000094933165;H000025889;980305B352;129.140;04
HJ02802;000094933172;H000025889;980305B401;126.680;02
HJ00706;000094933204;H000025889;980305B401;139.770;06
HJ02704;000094933205;H000025889;980305B402;124.250;04
HJ02605;000094933160;H000025889;980305A310;134.830;05
HJ02603;000094933168;H000025889;980305B359;109.730;03
HJ02601;000094933198;H000025889;980305B353;133.120;01
HJ02905;000094933166;H000025889;980305B353;138.240;05
HJ00903;000094933164;H000025889;980305B351;131.930;03
HJ02405;000094933163;H000025889;980305B340;129.160;05
HJ02301;000094933167;H000025889;980305B358;125.120;01
HJ02702;000094933169;H000025889;980305B360;137.430;02
HJ02501;000094933161;H000025889;980305B338;139.850;01
HI02600;000094932182;H000025889;980305B404;126.790;00
HJ03106;000094933010;H000025889;980305B374;134.630;06
HJ03001;000094933002;H000025889;980305B355;130.010;01
HJ03002;000094933013;H000025889;980305B376;137.800;02
HJ03003;000094933003;H000025889;980305B356;133.720;03
HK00101;000094932186;H000025889;980305B408;128.320;01
HJ03004;000094933015;H000025889;980305B398;133.680;04
HJ00900;000094932962;H000025889;980305B357;135.140;00
HJ03105;000094932173;H000025889;980305A318;122.120;05
HJ03006;000094933012;H000025889;980305B375;138.130;06
HJ01601;000094932178;H000025889;980305A341;137.350;01
HJ03101;000094933009;H000025889;980305B373;134.020;01
HJ00100;000094932174;H000025889;980305A337;136.930;00
HJ03103;000094932970;H000025889;980305B376;128.560;03
HJ03102;000094932961;H000025889;980305B356;136.510;02
HJ01506;000094932171;H000025889;980305A307;134.150;06
HJ03104;000094932966;H000025889;980305B372;141.240;04
HJ03005;000094932960;H000025889;980305B355;136.980;05
HI00900;000094932180;H000025889;980305B394;130.090;00
HJ03202;000094933016;H000025889;980305B399;129.560;02
HJ03204;000094932968;H000025889;980305B374;118.960;04
HI01200;000094932179;H000025889;980305B354;132.040;00
HJ01302;000094932969;H000025889;980305B375;130.340;02
HJ00301;000094932973;H000025889;980305B399;135.970;01
HI00100;000094932972;H000025889;980305B398;131.830;00
HI01500;000094932040;H000025889;980305B354;133.100;00
HJ03206;000094932971;H000025889;980305B397;134.970;06
HI02000;000094932183;H000025889;980305B405;133.360;00
HK00303;000094933004;H000025889;980305B357;129.100;03
HJ01805;000094933014;H000025889;980305B397;130.830;05
HK00302;000094933006;H000025889;980305B367;145.240;02
HI02200;000094932176;H000025889;980305A339;131.860;00
HK00301;000094933008;H000025889;980305B372;131.590;01
HI03206;000094932967;H000025889;980305B373;135.570;06
HJ01701;000094932037;H000025889;980305A339;131.210;01
HJ01901;000094932964;H000025889;980305B367;85.450;01
HJ01702;000094932022;H000025889;980305B406;129.300;02
HK00204;000094933005;H000025889;980305B366;128.550;04
HJ01605;000094932023;H000025889;980305B407;125.650;05
HK00203;000094932975;H000025889;980305B410;131.390;03
HI03000;000094932047;H000025889;980305B408;137.860;00
HI02800;000094932045;H000025889;980305B406;138.240;00
HK00201;000094933007;H000025889;980305B368;132.780;01
HI02400;000094932043;H000025889;980305B404;137.220;00
HJ00104;000094933018;H000025889;980305B410;133.810;04
HI02100;000094932009;H000025889;980305A307;133.550;00
HJ03203;000094932974;H000025889;980305B409;132.140;03
HI02700;000094932034;H000025889;980305A318;136.150;00
HK00106;000094933017;H000025889;980305B409;132.960;06
HI01800;000094932044;H000025889;980305B405;133.000;00
HI01600;000094932010;H000025889;980305A308;137.410;00
HJ00205;000094932965;H000025889;980305B368;136.390;05
HJ00105;000094932963;H000025889;980305B366;141.970;05
HI01400;000094932039;H000025889;980305A341;128.970;00
HI01100;000094932032;H000025889;980305A308;129.770;00
HI01000;000094932175;H000025889;980305A338;134.330;00
HI00400;000094932013;H000025889;980305A338;131.830;00
HI00200;000094932041;H000025889;980305B394;134.050;00
HI00903;000094932046;H000025889;980305B407;139.550;03
HK00102;000094932012;H000025889;980305A337;129.690;02
HJ01602;000094932554;H000025889;980305B420;126.460;02
HI01700;000094932642;H000025889;998030B421;129.620;00
HJ01603;000094932553;H000025889;980305B419;130.100;03
HO05804;000094932557;H000025889;998030B421;136.200;04
HJ01505;000094932550;H000025889;980305B416;133.130;05
HJ01000;000094932622;H000025889;980305B419;138.950;00
HJ01100;000094932637;H000025889;980305B418;138.940;00
HJ01200;000094932621;H000025889;980305B418;126.260;00
HJ01300;000094932613;H000025889;980305A346;131.050;00
HJ01500;000094932633;H000025889;980305B413;137.800;00
HJ01400;000094932618;H000025889;980305B414;134.290;00
HJ01600;000094932631;H000025889;980305A348;130.990;00
HJ01800;000094932639;H000025889;980305B420;138.670;00
HI01900;000094932624;H000025889;980305B422;132.020;00
HJ01705;000094932627;H000025889;980305A344;135.650;05
HJ02200;000094932628;H000025889;980305A345;135.470;00
HJ02300;000094932542;H000025889;980305A344;128.330;00
HJ02400;000094932555;H000025889;980305B422;132.680;00
HJ02500;000094932634;H000025889;980305B414;131.590;00
HJ02600;000094932632;H000025889;980305A349;133.840;00
HJ02900;000094932635;H000025889;980305B416;132.720;00
HJ02800;000094932615;H000025889;980305A348;132.130;00
HK00403;000094932629;H000025889;980305A346;137.640;03
HK00404;000094932616;H000025889;980305A349;133.830;04
HK00405;000094932543;H000025889;980305A345;129.790;05
HL00101;000094932614;H000025889;980305A347;129.440;01
HJ02903;000094932545;H000025889;980305A347;136.720;03
HI02300;000094932617;H000025889;980305B413;127.620;00
HI00105;000094932551;H000025889;980305B417;135.010;05
HJ01604;000094932636;H000025889;980305B417;129.840;04
HJ01706;000095012067;H000025889;980305B316;139.280;06
HL01805;000095012042;H000025889;980305B342;131.060;05
HJ02402;000095012025;H000025889;980305B342;133.870;02
HL01803;000095012041;H000025889;980305B341;128.230;03
HL01706;000095012027;H000025889;980305B344;132.710;06
HL01801;000095012046;H000025889;980305B349;129.670;01
HL01704;000095012044;H000025889;980305B344;132.590;04
HL01705;000095012043;H000025889;980305B343;131.490;05
HL01703;000095012026;H000025889;980305B343;137.360;03
HL01702;000095012034;H000025889;980305A301;130.750;02
HL01701;000095012047;H000025889;980305B350;130.790;01
HL01605;000095012040;H000025889;980305B334;132.760;05
HJ02503;000095012030;H000025889;980305B350;134.420;03
HL01603;000095012033;H000025889;980305A300;135.510;03
HL01601;000095012020;H000025889;980305B331;135.490;01
HL01602;000095012028;H000025889;980305B348;132.160;02
HL01505;000095012022;H000025889;980305B333;132.420;05
HL01506;000095012023;H000025889;980305B334;137.160;06
HJ02706;000095012024;H000025889;980305B341;137.760;06
